order_details_id,order_id,order_date,order_time,item_id
1,1,1/1/23,11:38:36 AM,109.0
2,2,1/1/23,11:57:40 AM,108.0
3,2,1/1/23,11:57:40 AM,124.0
4,2,1/1/23,11:57:40 AM,117.0
5,2,1/1/23,11:57:40 AM,129.0
6,2,1/1/23,11:57:40 AM,106.0
7,3,1/1/23,12:12:28 PM,117.0
8,3,1/1/23,12:12:28 PM,119.0
9,4,1/1/23,12:16:31 PM,117.0
10,5,1/1/23,12:21:30 PM,117.0
11,6,1/1/23,12:29:36 PM,101.0
12,6,1/1/23,12:29:36 PM,114.0
13,7,1/1/23,12:50:37 PM,123.0
14,8,1/1/23,12:51:37 PM,123.0
15,9,1/1/23,12:52:01 PM,108.0
16,9,1/1/23,12:52:01 PM,126.0
17,9,1/1/23,12:52:01 PM,110.0
18,9,1/1/23,12:52:01 PM,117.0
19,9,1/1/23,12:52:01 PM,117.0
20,9,1/1/23,12:52:01 PM,129.0
21,9,1/1/23,12:52:01 PM,122.0
22,9,1/1/23,12:52:01 PM,130.0
23,9,1/1/23,12:52:01 PM,132.0
24,10,1/1/23,1:00:15 PM,129.0
25,10,1/1/23,1:00:15 PM,105.0
26,11,1/1/23,1:02:59 PM,101.0
27,11,1/1/23,1:02:59 PM,102.0
28,11,1/1/23,1:02:59 PM,102.0
29,11,1/1/23,1:02:59 PM,113.0
30,12,1/1/23,1:04:41 PM,102.0
31,12,1/1/23,1:04:41 PM,102.0
32,12,1/1/23,1:04:41 PM,104.0
33,12,1/1/23,1:04:41 PM,117.0
34,13,1/1/23,1:11:55 PM,129.0
35,14,1/1/23,1:14:19 PM,114.0
36,15,1/1/23,1:33:00 PM,107.0
37,15,1/1/23,1:33:00 PM,124.0
38,15,1/1/23,1:33:00 PM,121.0
39,15,1/1/23,1:33:00 PM,114.0
40,16,1/1/23,1:34:07 PM,125.0
41,16,1/1/23,1:34:07 PM,111.0
42,16,1/1/23,1:34:07 PM,106.0
43,17,1/1/23,1:53:00 PM,101.0
44,17,1/1/23,1:53:00 PM,116.0
45,17,1/1/23,1:53:00 PM,124.0
46,17,1/1/23,1:53:00 PM,125.0
47,17,1/1/23,1:53:00 PM,117.0
48,17,1/1/23,1:53:00 PM,127.0
49,17,1/1/23,1:53:00 PM,128.0
50,17,1/1/23,1:53:00 PM,129.0
51,17,1/1/23,1:53:00 PM,118.0
52,17,1/1/23,1:53:00 PM,131.0
53,18,1/1/23,1:57:08 PM,111.0
54,19,1/1/23,1:59:09 PM,110.0
55,19,1/1/23,1:59:09 PM,120.0
56,20,1/1/23,2:03:08 PM,107.0
57,20,1/1/23,2:03:08 PM,124.0
58,21,1/1/23,2:14:29 PM,110.0
59,22,1/1/23,2:16:26 PM,124.0
60,22,1/1/23,2:16:26 PM,110.0
61,22,1/1/23,2:16:26 PM,105.0
62,23,1/1/23,2:19:03 PM,105.0
63,24,1/1/23,2:23:01 PM,101.0
64,24,1/1/23,2:23:01 PM,110.0
65,24,1/1/23,2:23:01 PM,113.0
66,24,1/1/23,2:23:01 PM,119.0
67,25,1/1/23,2:44:44 PM,120.0
68,25,1/1/23,2:44:44 PM,106.0
69,26,1/1/23,2:54:26 PM,108.0
70,26,1/1/23,2:54:26 PM,132.0
71,27,1/1/23,3:11:17 PM,101.0
72,27,1/1/23,3:11:17 PM,108.0
73,27,1/1/23,3:11:17 PM,131.0
74,28,1/1/23,3:35:46 PM,103.0
75,29,1/1/23,3:41:01 PM,126.0
76,30,1/1/23,3:41:25 PM,106.0
77,31,1/1/23,3:50:18 PM,129.0
78,31,1/1/23,3:50:18 PM,113.0
79,32,1/1/23,3:53:18 PM,107.0
80,32,1/1/23,3:53:18 PM,126.0
81,32,1/1/23,3:53:18 PM,110.0
82,32,1/1/23,3:53:18 PM,117.0
83,33,1/1/23,3:54:08 PM,101.0
84,33,1/1/23,3:54:08 PM,126.0
85,34,1/1/23,4:21:21 PM,114.0
86,35,1/1/23,4:32:04 PM,126.0
87,35,1/1/23,4:32:04 PM,112.0
88,35,1/1/23,4:32:04 PM,113.0
89,35,1/1/23,4:32:04 PM,106.0
90,36,1/1/23,4:54:09 PM,101.0
91,36,1/1/23,4:54:09 PM,108.0
92,37,1/1/23,4:56:09 PM,117.0
93,37,1/1/23,4:56:09 PM,129.0
94,38,1/1/23,5:03:00 PM,109.0
95,38,1/1/23,5:03:00 PM,110.0
96,39,1/1/23,5:07:23 PM,117.0
97,40,1/1/23,5:14:36 PM,125.0
98,40,1/1/23,5:14:36 PM,105.0
99,41,1/1/23,5:15:20 PM,125.0
100,41,1/1/23,5:15:20 PM,126.0
101,42,1/1/23,5:28:09 PM,107.0
102,42,1/1/23,5:28:09 PM,124.0
103,42,1/1/23,5:28:09 PM,129.0
104,42,1/1/23,5:28:09 PM,118.0
105,43,1/1/23,5:38:34 PM,103.0
106,43,1/1/23,5:38:34 PM,117.0
107,43,1/1/23,5:38:34 PM,118.0
108,44,1/1/23,5:54:20 PM,130.0
109,45,1/1/23,5:55:48 PM,125.0
110,45,1/1/23,5:55:48 PM,109.0
111,45,1/1/23,5:55:48 PM,106.0
112,46,1/1/23,6:25:51 PM,104.0
113,46,1/1/23,6:25:51 PM,108.0
114,46,1/1/23,6:25:51 PM,106.0
115,47,1/1/23,6:26:34 PM,105.0
